-1.262, 1.927, -1.0
0.76, 1.733, -1.0
-0.991, 1.916, -1.0
-0.319, -0.94, 1.0
1.983, -1.62, 1.0
1.658, -0.892, 1.0
-0.059, 0.74, -1.0
0.356, -1.798, 1.0
1.252, 0.5, 1.0
-0.667, 1.062, -1.0
0.8, -0.629, 1.0
-1.961, 1.125, -1.0
-1.16, 1.789, -1.0
-1.68, 2.111, -1.0
-0.862, 0.081, -1.0
1.551, -0.466, 1.0
1.367, -0.281, 1.0
-0.326, 1.895, -1.0
-0.66, 1.253, -1.0
0.774, -1.556, 1.0
2.221, -0.98, 1.0
1.74, -0.438, 1.0
-0.075, -1.452, 1.0
-0.751, 0.854, -1.0
0.649, -1.612, 1.0
-1.657, 0.682, -1.0
-1.769, 1.736, -1.0
-0.018, 1.66, -1.0
1.773, -0.82, 1.0
0.563, 0.598, -1.0
0.759, -1.313, 1.0
-0.14, 1.988, -1.0
-1.991, 0.188, -1.0
-0.489, 0.642, -1.0
-0.826, 2.333, -1.0
-1.66, 2.787, -1.0
-1.435, 1.75, -1.0
1.464, 0.604, 1.0
-0.369, 1.455, -1.0
1.418, -1.662, 1.0
-0.206, 0.918, -1.0
1.262, -0.744, 1.0
0.054, 0.65, 1.0
3.388, -1.325, 1.0
-0.004, -1.426, 1.0
2.533, -1.07, 1.0
-1.168, 1.587, -1.0
0.188, -0.131, 1.0
2.094, -0.743, 1.0
1.957, -0.548, 1.0
0.891, -0.215, 1.0
-1.673, 0.861, -1.0
-0.461, 1.342, -1.0
0.962, -1.021, 1.0
0.199, -0.798, 1.0
-1.761, 0.855, -1.0
1.374, -0.987, 1.0
1.14, -0.8, 1.0
1.465, -1.246, 1.0
-2.272, -0.36, -1.0
-0.78, 2.927, -1.0
-0.562, 1.717, -1.0
-1.76, 0.187, -1.0
-0.801, 1.038, -1.0
-1.468, 0.701, -1.0
-1.013, 1.178, -1.0
-2.47, 2.564, -1.0
-1.883, 0.539, -1.0
-0.026, -1.122, 1.0
2.178, -0.864, 1.0
-0.481, 0.726, -1.0
-1.767, 1.905, -1.0
0.152, -1.007, 1.0
1.876, -0.469, 1.0
0.693, -0.751, 1.0
1.253, -0.599, 1.0
-1.863, 2.53, -1.0
0.584, -0.069, 1.0
-0.743, -2.009, 1.0
1.279, -0.935, 1.0
-1.588, 1.671, -1.0
-0.71, 0.111, -1.0
-0.773, 1.52, -1.0
0.316, 0.042, 1.0
-0.12, -0.33, -1.0
0.657, -0.467, 1.0
-0.824, 2.49, -1.0
0.73, -1.264, 1.0
0.205, -0.842, 1.0
2.168, -0.691, 1.0
1.787, -0.902, 1.0
0.053, 0.582, -1.0
1.226, -0.827, 1.0
-0.347, 0.716, -1.0
-1.147, 0.812, -1.0
-2.218, 0.705, -1.0
0.413, 0.819, -1.0
0.446, -2.093, 1.0
1.239, -0.132, 1.0
0.356, -1.001, 1.0
